account_id,customer_id,branch_id,account_type,account_status,customer_segment,currency,opening_balance,current_balance,interest_rate,opened_at,credit_limit,overdraft_limit
ACC000000031,C0000669,BR008,Fixed Deposit,Active,Retail,USD,4052.64,4052.64,4.19,2025-09-20,,
ACC000000032,C0001839,BR004,Savings,Closed,Retail,USD,682.97,682.97,1.48,2026-02-26,,
ACC000000033,C0001630,BR004,Savings,Closed,Premium,USD,21511.82,21511.82,1.7,2026-02-10,,
ACC000000034,C0001319,BR002,Current,Active,Premium,USD,22147.28,22147.28,0.02,2026-02-09,22129.63,1166.84
ACC000000035,C0000531,BR001,Checking,Active,Retail,USD,5219.78,5219.78,0.03,2026-04-24,,940.78
ACC000000036,C0001930,BR001,Fixed Deposit,Active,Retail,USD,28557.08,28557.08,3.95,2026-05-10,,
ACC000000037,C0001510,BR001,Checking,Active,Retail,USD,2676.9,2676.9,0.03,2026-02-16,,2118.49
ACC000000038,C0001580,BR002,Savings,Active,Retail,USD,1086.85,1086.85,0.94,2025-07-24,,
ACC000000039,C0000810,BR001,Current,Active,Retail,USD,1762.39,1762.39,0.01,2026-01-03,11335.76,3399.9
ACC000000040,C0000302,BR004,Savings,Active,Premium,USD,2277.71,2277.71,2.16,2026-03-24,,
ACC000000041,C0000071,BR004,Fixed Deposit,Active,Premium,USD,6669.41,6669.41,3.68,2026-02-28,,
ACC000000042,C0001737,BR005,Current,Active,Premium,USD,8872.55,8872.55,0.01,2025-10-31,48341.54,294.06
ACC000000043,C0001660,BR002,Savings,Inactive,Retail,GBP,1070.53,1070.53,0.95,2026-03-01,,
ACC000000044,C0001507,BR001,Savings,Frozen,Premium,USD,15558.38,15558.38,1.1,2025-09-17,,
ACC000000045,C0001670,BR004,Savings,Pending Review,Retail,USD,794.39,794.39,1.17,2026-01-12,,
ACC000000046,C0001389,BR003,Fixed Deposit,Inactive,Premium,USD,40987.84,40987.84,4.32,2025-10-28,,
ACC000000047,C0000580,BR002,Savings,Active,Business,USD,59889.02,59889.02,0.69,2026-04-28,,
ACC000000048,C0000663,BR005,Money Market,Frozen,Retail,USD,1791.3,1791.3,3.37,2026-04-04,,
ACC000000049,C0000623,BR003,Savings,Active,Retail,USD,1302.58,1302.58,1.46,2026-04-19,,
ACC000000050,C0001838,BR001,Savings,Inactive,Retail,USD,2111.58,2111.58,1.8,2026-03-19,,
ACC000000051,C0000742,BR005,Money Market,Active,Retail,USD,4126.14,4126.14,3.22,2025-03-31,,
ACC000000052,C0000772,BR011,Current,Active,Retail,USD,759.66,759.66,0.0,2024-06-14,18101.4,2369.38
ACC000000053,C0001936,BR001,Money Market,Active,Retail,USD,936.25,936.25,3.44,2025-08-03,,
ACC000000054,C0001285,BR005,Savings,Active,Retail,USD,1334.45,1334.45,1.48,2025-11-17,,
ACC000000055,C0001409,BR004,Savings,Active,Retail,USD,470.66,470.66,1.88,2025-09-24,,
ACC000000056,C0001629,BR004,Checking,Inactive,Retail,EUR,796.91,796.91,0.04,2025-08-29,,1376.08
ACC000000057,C0001338,BR003,Checking,Active,Retail,USD,1123.02,1123.02,0.03,2025-09-02,,3343.96
ACC000000058,C0001044,BR001,Money Market,Active,Retail,USD,4334.62,4334.62,2.05,2025-08-11,,
ACC000000059,C0001527,BR001,Money Market,Active,Premium,USD,17371.07,17371.07,2.79,2025-12-20,,
ACC000000060,C0000889,BR002,Savings,Active,Retail,USD,2194.24,2194.24,2.32,2026-04-25,,
ACC000000061,C0001629,BR003,Current,Inactive,Retail,USD,4233.98,4233.98,0.01,2025-10-17,27052.63,4060.98
ACC000000062,C0001001,BR001,Money Market,Active,Retail,USD,1575.97,1575.97,2.8,2026-05-08,,
ACC000000063,C0001544,BR005,Checking,Active,Retail,USD,2671.69,2671.69,0.02,2025-08-23,,2773.61
ACC000000064,C0001640,BR002,Checking,Active,Premium,USD,12049.5,12049.5,0.02,2026-05-01,,2812.48
ACC000000065,C0001744,BR005,Checking,Pending Review,Retail,USD,2357.51,2357.51,0.02,2025-10-17,,2722.14
ACC000000066,C0000867,BR013,Checking,Active,Premium,USD,7459.48,7459.48,0.05,2025-12-06,,4523.1
ACC000000067,C0000601,BR004,Current,Active,Retail,USD,157.78,157.78,0.01,2024-09-06,45583.77,4983.99
ACC000000068,C0001242,BR003,Savings,Active,Retail,USD,1580.85,1580.85,0.59,2025-11-12,,
ACC000000069,C0000076,BR001,Fixed Deposit,Frozen,Retail,USD,7500.67,7500.67,3.34,2026-04-28,,
ACC000000070,C0001131,BR001,Fixed Deposit,Active,Retail,USD,4565.19,4565.19,4.06,2026-05-03,,
ACC000000071,C0001127,BR002,Current,Active,Premium,USD,35080.39,35080.39,0.01,2026-04-28,47264.65,3382.63
ACC000000072,C0001926,BR005,Money Market,Active,Retail,USD,6223.77,6223.77,2.04,2025-05-11,,
ACC000000073,C0001297,BR005,Savings,Active,Premium,USD,14598.26,14598.26,1.8,2025-08-30,,
ACC000000074,C0001048,BR004,Current,Inactive,Retail,USD,2202.43,2202.43,0.02,2026-05-11,19257.62,4820.09
ACC000000075,C0000507,BR001,Checking,Active,Retail,USD,974.91,974.91,0.03,2026-05-05,,1646.79
ACC000000076,C0000183,BR002,Fixed Deposit,Inactive,Retail,USD,1318.07,1318.07,5.0,2025-04-07,,
ACC000000077,C0000561,BR001,Current,Pending Review,Retail,USD,3346.84,3346.84,0.02,2026-02-06,39245.31,617.52
ACC000000078,C0001079,BR005,Fixed Deposit,Active,Retail,USD,6026.28,6026.28,3.24,2025-08-27,,
ACC000000079,C0000715,BR005,Fixed Deposit,Active,Retail,USD,1572.71,1572.71,5.24,2026-02-06,,
ACC000000080,C0000350,BR002,Current,Active,Retail,USD,1152.64,1152.64,0.01,2025-05-01,39543.0,2758.36
ACC000000081,C0001807,BR007,Current,Active,Retail,USD,1809.0,1809.0,0.01,2026-01-16,35804.52,3287.81
ACC000000082,C0000293,BR002,Fixed Deposit,Active,Business,USD,123185.68,123185.68,5.44,2026-01-26,,
ACC000000083,C0001449,BR006,Money Market,Active,Retail,USD,426.73,426.73,2.38,2026-05-07,,
ACC000000084,C0000725,BR006,Money Market,Active,Retail,GBP,181.97,181.97,2.54,2026-01-27,,
ACC000000085,C0001472,BR008,Savings,Active,Business,EUR,30926.1,30926.1,2.39,2025-06-28,,
ACC000000086,C0000833,BR005,Checking,Active,Retail,USD,533.41,533.41,0.02,2026-03-20,,468.17
ACC000000087,C0001179,BR001,Fixed Deposit,Active,Premium,USD,8037.39,8037.39,5.19,2025-11-20,,
ACC000000088,C0001971,BR010,Money Market,Closed,Retail,USD,1559.65,1559.65,2.5,2026-03-14,,
ACC000000089,C0001404,BR020,Money Market,Active,Retail,USD,1149.12,1149.12,2.73,2025-12-31,,
ACC000000090,C0001866,BR007,Checking,Active,Retail,USD,7726.93,7726.93,0.04,2025-06-17,,1221.13
ACC000000091,C0001514,BR004,Money Market,Active,Retail,USD,2506.76,2506.76,2.4,2026-02-03,,
ACC000000092,C0000346,BR004,Money Market,Closed,Retail,USD,2441.76,2441.76,2.23,2026-02-08,,
ACC000000093,C0000274,BR003,Checking,Active,Retail,USD,3368.45,3368.45,0.02,2025-12-27,,566.17
ACC000000094,C0001872,BR004,Money Market,Frozen,Retail,EUR,578.92,578.92,2.08,2024-05-28,,
ACC000000095,C0000990,BR002,Savings,Active,Retail,USD,5110.8,5110.8,1.29,2024-10-04,,
ACC000000096,C0001891,BR002,Money Market,Inactive,Retail,USD,1676.12,1676.12,2.43,2026-04-21,,
ACC000000097,C0001266,BR007,Checking,Active,Retail,USD,3535.04,3535.04,0.02,2025-10-26,,1769.46
ACC000000098,C0000011,BR002,Savings,Active,Retail,USD,619.02,619.02,1.36,2026-01-23,,
ACC000000099,C0000405,BR001,Money Market,Frozen,Premium,USD,2824.94,2824.94,3.33,2024-10-25,,
ACC000000100,C0000015,BR001,Fixed Deposit,Active,Premium,USD,30269.31,30269.31,3.75,2025-08-01,,
ACC000000101,C0000878,BR008,Money Market,Inactive,Retail,USD,2634.4,2634.4,2.38,2026-05-05,,
ACC000000102,C0001720,BR002,Savings,Active,Premium,USD,5420.53,5420.53,1.22,2026-03-15,,
ACC000000103,C0001783,BR005,Checking,Active,Retail,USD,757.74,757.74,0.03,2026-05-02,,3719.62
ACC000000104,C0001846,BR001,Savings,Closed,Retail,GBP,5571.58,5571.58,2.47,2025-05-12,,
ACC000000105,C0000244,BR002,Money Market,Active,Retail,USD,550.37,550.37,1.75,2026-04-25,,
ACC000000106,C0001539,BR005,Current,Active,Retail,GBP,9345.71,9345.71,0.02,2025-08-31,19748.0,548.66
ACC000000107,C0000221,BR006,Savings,Active,Retail,USD,734.64,734.64,2.03,2025-08-25,,
ACC000000108,C0000485,BR001,Fixed Deposit,Active,Retail,USD,3423.41,3423.41,3.02,2026-03-25,,
ACC000000109,C0000984,BR002,Current,Active,Premium,USD,9617.9,9617.9,0.01,2026-05-08,36597.8,934.3
ACC000000110,C0000576,BR005,Fixed Deposit,Pending Review,Retail,USD,3304.99,3304.99,5.05,2025-12-01,,
ACC000000111,C0000407,BR003,Checking,Active,Retail,USD,1049.31,1049.31,0.02,2024-11-09,,4962.76
ACC000000112,C0001211,BR004,Savings,Active,Premium,USD,11352.66,11352.66,0.58,2025-10-15,,
ACC000000113,C0000394,BR009,Current,Active,Retail,USD,1883.56,1883.56,0.02,2026-01-02,19327.46,2624.86
ACC000000114,C0001434,BR004,Savings,Active,Retail,USD,663.69,663.69,0.62,2026-04-16,,
ACC000000115,C0000875,BR004,Fixed Deposit,Active,Premium,USD,28024.22,28024.22,5.36,2025-07-03,,
ACC000000116,C0001458,BR002,Fixed Deposit,Frozen,Retail,USD,1082.24,1082.24,3.0,2025-11-08,,
ACC000000117,C0001353,BR005,Savings,Active,Retail,USD,1438.56,1438.56,1.71,2026-04-30,,
ACC000000118,C0000883,BR001,Current,Active,Business,USD,18156.44,18156.44,0.0,2026-04-22,1176.25,2758.84
ACC000000119,C0001766,BR001,Fixed Deposit,Active,Retail,USD,139.44,139.44,4.95,2025-08-03,,
ACC000000120,C0001084,BR004,Savings,Active,Retail,USD,1493.64,1493.64,1.27,2026-02-15,,
ACC000000121,C0001817,BR001,Money Market,Active,Retail,USD,20183.39,20183.39,3.32,2026-04-11,,
ACC000000122,C0001341,BR006,Savings,Active,Retail,GBP,3962.4,3962.4,0.65,2025-10-16,,
ACC000000123,C0001120,BR004,Fixed Deposit,Active,Retail,CAD,1773.55,1773.55,3.5,2025-01-17,,
ACC000000124,C0001477,BR001,Savings,Active,Retail,USD,1390.07,1390.07,1.01,2026-04-23,,
ACC000000125,C0001797,BR005,Money Market,Pending Review,Business,EUR,61510.25,61510.25,2.4,2025-08-14,,
ACC000000126,C0001470,BR001,Current,Active,Retail,USD,3124.78,3124.78,0.02,2025-04-15,25441.54,109.37
ACC000000127,C0001228,BR002,Savings,Active,Retail,GBP,555.12,555.12,0.62,2025-08-27,,
ACC000000128,C0001992,BR005,Current,Active,Retail,USD,5510.01,5510.01,0.01,2026-04-03,4211.78,2188.72
ACC000000129,C0001044,BR002,Current,Active,Retail,USD,3697.39,3697.39,0.0,2026-02-18,8420.15,1089.04
ACC000000130,C0001427,BR001,Money Market,Active,Retail,USD,3707.77,3707.77,2.55,2026-05-06,,
ACC000000131,C0000622,BR007,Fixed Deposit,Active,Business,USD,101333.35,101333.35,3.43,2025-11-28,,
ACC000000132,C0000094,BR003,Fixed Deposit,Active,Retail,USD,1843.86,1843.86,5.21,2025-03-23,,
ACC000000133,C0001900,BR001,Checking,Active,Retail,USD,3543.47,3543.47,0.04,2025-02-19,,2672.97
ACC000000134,C0000003,BR004,Money Market,Pending Review,Retail,USD,3267.61,3267.61,3.39,2025-11-15,,
ACC000000135,C0001811,BR003,Savings,Active,Retail,USD,1268.97,1268.97,1.15,2024-10-21,,
ACC000000136,C0000118,BR004,Checking,Inactive,Retail,USD,1018.82,1018.82,0.05,2024-08-17,,883.68
ACC000000137,C0001990,BR001,Money Market,Active,Retail,USD,2001.91,2001.91,2.26,2026-05-04,,
ACC000000138,C0001340,BR002,Money Market,Active,Retail,USD,8510.2,8510.2,1.94,2025-11-30,,
ACC000000139,C0000551,BR001,Current,Active,Retail,USD,523.69,523.69,0.01,2025-12-22,18747.68,4510.84
ACC000000140,C0000192,BR003,Current,Active,Retail,EUR,416.75,416.75,0.0,2025-10-05,24780.66,3647.4
ACC000000141,C0001327,BR002,Fixed Deposit,Active,Retail,USD,2131.88,2131.88,3.99,2026-02-18,,
ACC000000142,C0001245,BR001,Savings,Active,Retail,USD,1902.43,1902.43,2.32,2026-03-25,,
ACC000000143,C0001988,BR002,Money Market,Active,Retail,USD,2150.25,2150.25,1.52,2025-04-11,,
ACC000000144,C0000205,BR002,Checking,Active,Retail,USD,2307.58,2307.58,0.04,2025-12-07,,4673.39
ACC000000145,C0000271,BR001,Checking,Active,Retail,GBP,1446.35,1446.35,0.03,2026-02-10,,3962.0
ACC000000146,C0000020,BR011,Checking,Active,Retail,USD,8021.36,8021.36,0.04,2025-02-09,,424.83
ACC000000147,C0000286,BR003,Money Market,Frozen,Retail,USD,364.71,364.71,2.11,2026-03-12,,
ACC000000148,C0000981,BR001,Checking,Active,Retail,USD,789.58,789.58,0.03,2025-06-06,,106.04
ACC000000149,C0000092,BR001,Fixed Deposit,Active,Retail,EUR,1630.67,1630.67,4.04,2025-08-05,,
ACC000000150,C0000003,BR009,Checking,Active,Retail,USD,349.61,349.61,0.02,2026-02-15,,1434.23
ACC000000151,C0001888,BR008,Current,Active,Premium,USD,11205.34,11205.34,0.02,2025-12-21,24845.12,4953.84
ACC000000152,C0000460,BR001,Fixed Deposit,Active,Retail,USD,9523.05,9523.05,3.3,2024-02-17,,
ACC000000153,C0001891,BR009,Checking,Frozen,Retail,USD,1846.2,1846.2,0.02,2026-05-11,,2652.4
ACC000000154,C0001229,BR001,Current,Active,Premium,USD,16826.34,16826.34,0.01,2026-05-01,40969.35,1741.93
ACC000000155,C0000213,BR002,Current,Active,Retail,GBP,512.77,512.77,0.02,2026-02-01,35709.68,381.85
ACC000000156,C0000005,BR007,Savings,Inactive,Retail,USD,976.17,976.17,0.8,2025-07-20,,
ACC000000157,C0000915,BR005,Current,Inactive,Retail,USD,1242.4,1242.4,0.01,2025-10-02,36472.03,723.34
ACC000000158,C0000662,BR018,Savings,Inactive,Retail,USD,1315.91,1315.91,1.49,2025-09-26,,
ACC000000159,C0000986,BR005,Current,Active,Retail,USD,6513.58,6513.58,0.0,2026-03-02,47229.5,4608.02
ACC000000160,C0000785,BR002,Current,Active,Retail,USD,3157.99,3157.99,0.01,2026-03-12,11890.67,418.09
ACC000000161,C0001465,BR002,Money Market,Inactive,Retail,USD,594.99,594.99,1.94,2025-06-29,,
ACC000000162,C0000179,BR001,Checking,Active,Business,EUR,80483.36,80483.36,0.02,2026-05-09,,2369.63
ACC000000163,C0000274,BR009,Checking,Closed,Retail,USD,2975.66,2975.66,0.04,2025-09-13,,3893.23
ACC000000164,C0000286,BR002,Savings,Inactive,Retail,USD,5654.17,5654.17,2.36,2025-07-21,,
ACC000000165,C0000863,BR001,Savings,Active,Premium,USD,64895.96,64895.96,2.42,2026-05-06,,
ACC000000166,C0001442,BR001,Checking,Active,Retail,USD,655.18,655.18,0.01,2025-11-07,,530.05
ACC000000167,C0001192,BR001,Money Market,Frozen,Retail,USD,803.63,803.63,2.23,2025-11-06,,
ACC000000168,C0000162,BR001,Checking,Active,Premium,USD,3798.73,3798.73,0.02,2025-08-12,,912.12
ACC000000169,C0001523,BR001,Money Market,Active,Retail,USD,1430.79,1430.79,2.32,2024-10-16,,
ACC000000170,C0000691,BR002,Checking,Active,Retail,USD,2882.34,2882.34,0.05,2026-01-26,,160.6
ACC000000171,C0001539,BR001,Savings,Active,Retail,USD,4852.91,4852.91,1.86,2025-06-25,,
ACC000000172,C0001794,BR003,Fixed Deposit,Closed,Retail,USD,1675.81,1675.81,4.77,2025-03-02,,
ACC000000173,C0000868,BR009,Fixed Deposit,Pending Review,Retail,USD,1313.11,1313.11,5.44,2026-05-11,,
ACC000000174,C0000257,BR005,Current,Active,Retail,USD,2104.34,2104.34,0.0,2026-04-17,37426.79,2796.47
ACC000000175,C0001724,BR001,Current,Active,Business,USD,21978.69,21978.69,0.01,2026-02-07,19333.27,273.36
ACC000000176,C0000761,BR004,Savings,Active,Retail,USD,14611.13,14611.13,1.23,2025-04-23,,
ACC000000177,C0001595,BR007,Checking,Active,Retail,USD,362.25,362.25,0.01,2025-12-07,,1059.55
ACC000000178,C0000023,BR005,Fixed Deposit,Active,Retail,USD,2174.91,2174.91,5.32,2026-04-06,,
ACC000000179,C0000493,BR002,Money Market,Active,Retail,USD,13678.85,13678.85,3.08,2025-06-07,,
ACC000000180,C0000094,BR001,Checking,Closed,Retail,USD,1820.38,1820.38,0.02,2025-10-31,,1412.01
ACC000000181,C0000816,BR003,Fixed Deposit,Inactive,Business,USD,47665.02,47665.02,5.43,2025-03-30,,
ACC000000182,C0001440,BR004,Fixed Deposit,Active,Retail,USD,1264.65,1264.65,3.25,2025-02-12,,
ACC000000183,C0001654,BR006,Checking,Active,Premium,USD,11154.61,11154.61,0.03,2024-05-04,,4260.14
ACC000000184,C0000595,BR001,Current,Active,Retail,USD,7135.58,7135.58,0.02,2026-02-13,11962.72,1078.24
ACC000000185,C0001396,BR004,Savings,Pending Review,Premium,USD,1462.84,1462.84,2.48,2026-03-19,,
ACC000000186,C0001247,BR004,Fixed Deposit,Active,Premium,USD,61909.8,61909.8,3.73,2025-12-31,,
ACC000000187,C0001277,BR007,Current,Active,Premium,USD,3216.48,3216.48,0.01,2026-01-24,12335.98,4985.05
ACC000000188,C0001243,BR001,Savings,Active,Retail,CAD,1384.85,1384.85,0.69,2025-11-22,,
ACC000000189,C0000031,BR001,Fixed Deposit,Active,Premium,GBP,8697.19,8697.19,4.95,2025-07-23,,
ACC000000190,C0000179,BR003,Current,Active,Business,GBP,121329.34,121329.34,0.0,2026-04-18,14365.81,1816.64
ACC000000191,C0000183,BR001,Current,Active,Retail,USD,365.72,365.72,0.01,2026-04-30,43894.56,3251.46
ACC000000192,C0000288,BR010,Money Market,Active,Retail,USD,2870.3,2870.3,2.07,2026-03-21,,
ACC000000193,C0000838,BR007,Savings,Active,Business,USD,679540.12,679540.12,1.75,2024-09-03,,
ACC000000194,C0000643,BR002,Current,Active,Premium,USD,3418.05,3418.05,0.02,2025-08-08,34286.5,3103.07
ACC000000195,C0001319,BR001,Savings,Active,Premium,USD,16150.5,16150.5,0.81,2025-04-27,,
ACC000000196,C0000216,BR002,Savings,Active,Retail,EUR,932.64,932.64,0.95,2026-04-02,,
ACC000000197,C0001791,BR003,Checking,Active,Business,USD,99814.09,99814.09,0.03,2025-10-20,,4091.45
ACC000000198,C0000224,BR001,Checking,Closed,Premium,GBP,13618.0,13618.0,0.04,2025-12-18,,997.35
ACC000000199,C0000674,BR001,Fixed Deposit,Pending Review,Retail,USD,951.95,951.95,4.76,2025-08-17,,
ACC000000200,C0000976,BR001,Current,Active,Premium,USD,21760.95,21760.95,0.01,2026-05-11,32190.71,1600.93
ACC000000201,C0000065,BR016,Current,Active,Retail,USD,10985.68,10985.68,0.02,2026-03-09,48938.76,1067.1
ACC000000202,C0000434,BR007,Current,Active,Premium,USD,11037.97,11037.97,0.0,2026-04-23,3928.32,2025.34
ACC000000203,C0000611,BR008,Current,Frozen,Premium,USD,27440.02,27440.02,0.01,2026-03-20,13342.64,4152.75
ACC000000204,C0000190,BR008,Current,Active,Retail,USD,496.07,496.07,0.0,2026-04-26,17789.17,2095.51
ACC000000205,C0000974,BR003,Savings,Closed,Premium,USD,5133.61,5133.61,2.33,2024-09-14,,
ACC000000206,C0001169,BR002,Checking,Active,Retail,EUR,2899.83,2899.83,0.02,2025-10-07,,3613.62
ACC000000207,C0001185,BR004,Fixed Deposit,Active,Retail,USD,7975.39,7975.39,4.84,2026-01-21,,
ACC000000208,C0001691,BR005,Fixed Deposit,Active,Retail,EUR,2580.18,2580.18,5.33,2025-11-21,,
ACC000000209,C0001023,BR007,Checking,Inactive,Retail,USD,1322.05,1322.05,0.02,2026-04-16,,3611.43
ACC000000210,C0000923,BR010,Savings,Active,Retail,USD,1806.76,1806.76,1.66,2024-12-04,,
ACC000000211,C0000075,BR001,Savings,Active,Premium,USD,3826.07,3826.07,0.83,2026-02-26,,
ACC000000212,C0000774,BR001,Savings,Closed,Retail,CAD,3309.38,3309.38,1.65,2025-11-12,,
ACC000000213,C0000030,BR002,Fixed Deposit,Active,Retail,EUR,4369.19,4369.19,4.26,2025-09-19,,
ACC000000214,C0001778,BR001,Current,Active,Premium,USD,8500.75,8500.75,0.01,2025-03-30,17934.46,2712.34
ACC000000215,C0001072,BR013,Fixed Deposit,Active,Retail,USD,1129.98,1129.98,4.07,2025-01-27,,
ACC000000216,C0000363,BR003,Savings,Active,Premium,USD,17428.78,17428.78,2.19,2025-04-12,,
ACC000000217,C0001411,BR004,Fixed Deposit,Active,Retail,GBP,1168.27,1168.27,5.26,2025-11-09,,
ACC000000218,C0000204,BR019,Checking,Active,Retail,USD,1692.34,1692.34,0.05,2026-05-03,,518.38
ACC000000219,C0001536,BR005,Money Market,Active,Business,USD,743903.16,743903.16,2.66,2025-07-09,,
ACC000000220,C0000067,BR004,Current,Active,Premium,USD,10435.56,10435.56,0.01,2026-02-01,6167.8,4281.71
ACC000000221,C0001947,BR001,Current,Active,Retail,USD,1263.52,1263.52,0.01,2026-02-12,37187.08,38.03
ACC000000222,C0000768,BR006,Money Market,Active,Retail,EUR,946.2,946.2,2.03,2025-08-26,,
ACC000000223,C0001718,BR008,Current,Active,Business,USD,146243.8,146243.8,0.02,2024-09-23,2117.39,131.23
ACC000000224,C0001619,BR002,Money Market,Inactive,Retail,USD,1508.36,1508.36,2.17,2026-04-20,,
ACC000000225,C0001965,BR003,Current,Active,Retail,CAD,944.47,944.47,0.0,2025-11-12,32399.5,4142.75
ACC000000226,C0001642,BR010,Current,Active,Premium,USD,50076.35,50076.35,0.02,2026-03-03,9099.0,4520.86
ACC000000227,C0001060,BR001,Savings,Active,Retail,USD,7477.12,7477.12,1.51,2026-03-23,,
ACC000000228,C0001294,BR003,Current,Inactive,Retail,USD,991.85,991.85,0.01,2025-08-19,27868.82,4743.5
ACC000000229,C0000418,BR001,Checking,Active,Retail,USD,279.63,279.63,0.03,2025-03-28,,139.09
ACC000000230,C0001450,BR003,Checking,Active,Premium,USD,36589.39,36589.39,0.04,2025-12-30,,4917.07
ACC000000231,C0001300,BR004,Fixed Deposit,Active,Retail,USD,911.75,911.75,3.55,2026-03-17,,
ACC000000232,C0000397,BR003,Savings,Active,Retail,USD,3986.33,3986.33,1.26,2025-09-28,,
ACC000000233,C0000534,BR004,Fixed Deposit,Active,Retail,USD,252.12,252.12,3.06,2026-03-12,,
ACC000000234,C0001187,BR007,Checking,Active,Premium,USD,32617.28,32617.28,0.01,2026-03-29,,1412.32
ACC000000235,C0001833,BR001,Checking,Active,Business,USD,13996.94,13996.94,0.04,2026-04-08,,1954.0
ACC000000236,C0001006,BR006,Current,Active,Retail,GBP,3754.7,3754.7,0.0,2025-10-21,34523.15,1876.27
ACC000000237,C0000643,BR004,Current,Inactive,Premium,USD,13551.78,13551.78,0.0,2025-12-19,9344.52,2836.47
ACC000000238,C0001243,BR007,Checking,Pending Review,Retail,CAD,696.49,696.49,0.03,2026-03-26,,3070.02
ACC000000239,C0001120,BR001,Money Market,Active,Retail,GBP,1203.47,1203.47,1.89,2024-09-11,,
ACC000000240,C0000061,BR003,Money Market,Active,Business,USD,136432.07,136432.07,3.23,2025-09-17,,
ACC000000241,C0000236,BR008,Checking,Active,Retail,USD,2010.01,2010.01,0.04,2026-03-31,,4699.24
ACC000000242,C0000549,BR002,Savings,Closed,Retail,USD,3243.52,3243.52,1.6,2026-03-08,,
ACC000000243,C0000603,BR003,Current,Active,Retail,GBP,13048.66,13048.66,0.02,2026-02-13,12879.61,989.38
ACC000000244,C0001733,BR008,Fixed Deposit,Closed,Premium,USD,2795.48,2795.48,4.98,2026-04-04,,
ACC000000245,C0001204,BR002,Savings,Closed,Retail,USD,9110.77,9110.77,2.27,2025-07-03,,
