customer_id,first_name,last_name,email,phone_number,date_of_birth,address,city,state,zip_code,country,registration_date,customer_segment,kyc_status,is_active,annual_income,occupation,nationality
C0000013,Shawn,Mcdaniel,kristin93@example.com,683-624-2102,1998-11-09,74648 Kim Rapid Apt. 659,Anthonybury,TX,75893,USA,2024-02-02,Premium,Verified,True,114139.58,Investment Manager,Serbia
C0000014,Lori,Johnston,thomaspearson@example.com,(796)371-7565,1986-02-09,6746 Shawn Island,Marcusfurt,VI,67950,USA,2024-01-02,Retail,Verified,True,13951.75,Warehouse Worker,Palestinian Territory
C0000015,Amy,Gutierrez,aprildean@example.com,+1-570-434-8247x7109,1999-07-10,086 Jeffrey Ville Apt. 712,Cantuport,NY,92960,USA,2025-02-28,Premium,Verified,True,35068.17,Architect,Israel
C0000016,Timothy,Kennedy,yarnold@example.org,+1-982-414-6584x044,1997-03-01,755 Gibson Islands Apt. 396,Port Kimberly,AZ,42205,USA,2026-01-04,Premium,Verified,True,70447.81,Attorney,Romania
C0000017,Lisa,Hughes,tylerjohnson@example.net,001-851-471-8702,2002-07-09,4596 Melissa Walk,Finleyfort,VI,71413,USA,2024-02-25,Retail,Expired,True,21885.61,Retail Worker,Niger
C0000018,Jimmy,Cohen,wendy16@example.org,001-517-824-0050x45562,1945-01-06,21969 Tyler Prairie,East Steven,KS,60737,USA,2025-01-31,Business,Verified,True,345033.87,CFO,Papua New Guinea
C0000019,Rachel,Marshall,erica21@example.com,(894)764-7436x713,1940-12-31,406 Smith Way Apt. 974,New Laurie,IN,83943,USA,2024-10-22,Premium,Verified,True,57250.15,Software Engineer,Niger
C0000020,Erica,Le,courtneyberger@example.net,7478095214,1957-06-01,28588 Rivas Glens,Coffeyport,WA,44897,USA,2024-06-27,Retail,Verified,True,17923.14,Warehouse Worker,Lao People's Democratic Republic
C0000021,Charles,Webster,michelleramsey@example.com,+1-751-660-4817,2005-11-19,513 Johnson Points Suite 931,Blankenshipport,SD,54017,USA,2024-06-30,Business,Verified,True,866761.4,CFO,Burundi
C0000022,Sophia,Torres,pwilson@example.net,(367)958-6926,1943-06-13,0537 Sampson Walk Suite 158,Bruceview,ID,16512,USA,2025-12-07,Business,Pending,True,223994.99,Business Owner,Bermuda
C0000023,Jason,Fowler,williamsmatthew@example.org,001-431-283-9335,1985-06-18,28421 David Knolls Apt. 950,West Brian,WA,55677,USA,2026-03-28,Retail,Verified,True,37562.6,Nurse,Brazil
C0000024,Bryce,West,william17@example.net,890.884.7007,1991-02-07,7115 Cameron Harbor,Oscarhaven,LA,59970,USA,2026-02-24,Retail,Verified,True,17811.97,Warehouse Worker,Netherlands
C0000025,Cory,Miles,russellbeasley@example.com,376-361-5654x52711,1969-08-20,52809 Santiago Loop Suite 604,Michaelshire,NY,28385,USA,2024-08-28,Premium,Verified,True,71208.71,Attorney,Palestinian Territory
C0000026,Jeffrey,Rodriguez,danny49@example.org,(289)498-0940x24455,1973-03-04,612 Christopher Pines,South Robert,MA,21132,USA,2025-07-28,Retail,Pending,True,38386.51,Sales Associate,Georgia
C0000027,Mark,Pugh,wareeric@example.net,6145767976,1989-06-19,6149 Rose Inlet,East Randallton,AL,27295,USA,2025-04-13,Business,Verified,True,106852.55,Business Owner,Yemen
C0000028,Katrina,Duran,mark07@example.net,(922)368-3885x16060,1954-09-26,696 Roberts Lodge Apt. 529,Collierstad,CO,57741,USA,2024-06-13,Retail,Verified,True,43820.15,Warehouse Worker,Ecuador
C0000029,Brianna,Warren,vharrell@example.com,752.718.1883,1970-01-03,12432 Kathleen Shoal,East Stephaniefort,NH,99387,USA,2025-11-28,Retail,Verified,True,26894.6,Teacher,Pitcairn Islands
C0000030,Nicole,Day,michelle52@example.com,377-644-9058,2003-04-01,0054 Deanna Walk Apt. 998,Fordside,WY,97352,USA,2024-03-04,Retail,Verified,True,31387.13,Nurse,Korea
C0000031,Lisa,Pearson,cassidy82@example.org,415.718.2037x788,2002-03-22,6659 Kristina Rue Suite 151,Mitchellberg,MA,11183,USA,2024-08-07,Premium,Verified,True,68801.17,Financial Analyst,United States Virgin Islands
C0000032,Kyle,Douglas,tanderson@example.org,486-552-8168x5054,1964-03-01,3322 Kenneth Turnpike Apt. 888,Lake Matthewberg,PA,49878,USA,2024-08-27,Premium,Verified,True,299948.75,Consultant,Central African Republic
C0000033,Marie,Wise,jenniferwilliams@example.com,+1-937-994-7383x47359,1952-08-31,8862 Laurie Dam Suite 075,Lake Meghanville,LA,11494,USA,2024-09-06,Retail,Verified,False,36071.25,Retired,Faroe Islands
C0000034,Rebecca,Hernandez,odavis@example.com,(206)706-8536x153,1970-12-08,522 Justin Village,Hortonberg,WV,92977,USA,2025-12-29,Retail,Verified,True,21399.96,Nurse,Kiribati
C0000035,Adam,Miller,jason28@example.net,+1-986-314-3410x369,1982-03-27,9808 Jennifer Highway,Smithstad,IA,75299,USA,2025-10-09,Retail,Verified,True,54790.52,Retired,Colombia
C0000036,Elizabeth,Mills,carlos88@example.net,380.767.0654x05153,1985-07-28,58527 Welch Valleys,North Jennifer,NH,05348,USA,2025-03-31,Premium,Verified,True,47452.94,Physician,Cook Islands
C0000037,Kylie,Blackwell,sarah86@example.net,940.834.5054x1566,1943-05-05,77584 Jessica Common Suite 928,Manuelland,MD,87129,USA,2025-04-04,Retail,Verified,True,40313.1,Nurse,Gambia
C0000038,Carrie,Simmons,cbell@example.net,(996)240-1658x202,1970-09-15,35569 Cassie Springs,Rushstad,NV,10578,USA,2024-08-01,Retail,Verified,True,13631.86,Student,Marshall Islands
C0000039,Raymond,Banks,susanjohnson@example.org,386.481.4473x9473,1965-05-01,2715 Mckinney Plaza,Patriciaburgh,VT,93504,USA,2024-09-27,Retail,Verified,True,18693.05,Nurse,South Africa
C0000040,William,Martinez,laurayoung@example.com,3583957829,1964-12-16,7866 David Island Apt. 778,Davidside,SC,77543,USA,2024-10-09,Retail,Pending,True,40071.9,Teacher,Seychelles
C0000041,David,Shaw,guerraapril@example.com,(525)635-8414,2006-02-11,498 Wayne Extension,East Donna,VA,79817,USA,2025-06-08,Retail,Verified,True,52534.92,Nurse,Tajikistan
C0000042,Anne,Bryan,millerstacy@example.net,839-669-0784x473,2003-03-27,02767 Harris Rest Apt. 555,Andersonstad,NY,74117,USA,2024-06-13,Business,Pending,True,307765.87,Operations Manager,Ghana
C0000043,Steven,Adams,donaldwilliams@example.com,+1-963-625-9532x787,1956-10-23,16873 Brandy Causeway Apt. 479,Mitchelltown,PR,14590,USA,2025-10-31,Retail,Pending,True,34275.15,Driver,Burkina Faso
C0000044,Joseph,Diaz,zdiaz@example.org,001-983-658-4168,2000-05-30,16558 Fischer Flat,Porterton,AZ,18462,USA,2025-06-01,Retail,Expired,True,31239.8,Retired,Spain
C0000045,April,Hernandez,markaustin@example.org,(794)795-8887x9470,1972-08-06,9409 Baker Shoal,Lake Brett,NJ,22850,USA,2026-03-25,Retail,Verified,True,17339.44,Warehouse Worker,Norfolk Island
C0000046,Christine,Randall,lorraineallen@example.net,001-913-207-5626x368,1989-06-09,385 Fox Island,South Rhonda,MA,72102,USA,2025-07-04,Retail,Verified,True,25338.44,Sales Associate,Philippines
C0000047,Mikayla,Becker,chelsea33@example.com,+1-743-644-3757,1992-11-22,98665 Kelly Heights Apt. 574,Lewisside,KY,74165,USA,2025-02-25,Business,Verified,True,185625.96,Sole Trader,Burundi
C0000048,Christina,Matthews,brentstein@example.org,+1-930-916-5712x0826,1947-10-17,5401 Amanda Stream,East Robertburgh,PW,05264,USA,2025-09-08,Retail,Verified,True,61608.87,Warehouse Worker,Solomon Islands
C0000049,Jacob,Curry,nancy04@example.net,+1-515-347-8872x874,1974-01-26,74205 Bradley Throughway Apt. 296,Robertsonland,MO,88221,USA,2024-05-28,Retail,Expired,True,43122.89,Driver,Colombia
C0000050,Donald,Morris,adamreyes@example.com,001-445-849-9045x30174,2007-03-01,145 Jeffrey Dale Suite 279,Robertside,PW,62213,USA,2026-04-15,Retail,Verified,True,15040.17,Student,Spain
C0000051,Margaret,Gill,foxallison@example.com,491-408-8398,1985-07-21,713 Davis Pass Suite 072,Bryantton,OH,61105,USA,2025-04-23,Retail,Pending,True,42703.75,Teacher,Saint Kitts and Nevis
C0000052,Randy,Velasquez,bethwilliams@example.com,001-718-801-7046x226,1941-11-04,6182 Wilson Plain Suite 823,Port Andrewport,NH,88777,USA,2026-04-25,Retail,Verified,True,29955.22,Warehouse Worker,Jamaica
C0000053,Nicolas,Hall,rreed@example.org,001-210-569-0331x1907,1976-07-23,7383 Donald Highway,Port Sabrina,OK,42300,USA,2025-05-13,Retail,Verified,True,25888.11,Administrative Assistant,Dominica
C0000054,Nancy,Odom,roberthill@example.net,001-726-887-0568,1960-11-23,46287 Melissa Hills Apt. 708,Faulknerside,NC,18076,USA,2025-08-26,Retail,Verified,True,49307.83,Retail Worker,Ecuador
C0000055,James,Lucas,fboone@example.net,001-930-546-9901x3983,1957-09-17,0331 Rocha Square Apt. 638,Kimberlyfurt,NH,70447,USA,2025-07-12,Retail,Failed,False,60809.41,Teacher,Gambia
C0000056,Michael,Andrade,ugarcia@example.com,001-853-655-6093x20489,1958-02-28,53693 Pierce Spur,Jonathanfort,VA,84609,USA,2026-02-01,Retail,Expired,False,57851.81,Nurse,Kuwait
C0000057,Jessica,Bell,jenniferfreeman@example.net,+1-508-901-0062x3120,1951-10-23,99770 Amanda Loop Apt. 084,Andrechester,AS,23997,USA,2024-06-15,Retail,Verified,True,23870.32,Administrative Assistant,Uruguay
C0000058,Alice,Allen,lisa46@example.org,(867)993-3410x166,1946-11-30,021 Bruce Rue,Arielville,MH,69727,USA,2024-03-07,Premium,Pending,True,81999.84,Attorney,Denmark
C0000059,Rachel,Schwartz,enelson@example.net,689-402-5039x261,1954-09-30,685 Campos Dam,New Juliestad,AR,13304,USA,2025-11-09,Retail,Verified,True,42857.32,Warehouse Worker,Djibouti
C0000060,Charles,Jacobs,unovak@example.org,+1-647-573-5866x2961,1997-06-07,42626 Ward Course,West Seanview,CT,17868,USA,2024-05-15,Retail,Pending,True,59146.49,Nurse,Colombia
C0000061,Shane,Peters,fgarcia@example.com,+1-819-395-6046,1969-09-09,826 Dominic Hollow,Trevorland,GA,57474,USA,2025-03-04,Business,Verified,True,182893.74,CFO,Italy
C0000062,Todd,Jones,sheryl79@example.net,871.724.0659,1960-10-04,6924 Morrison Square Apt. 752,Novakport,WA,91590,USA,2026-02-01,Premium,Verified,True,88309.65,Software Engineer,Morocco
C0000063,John,Bennett,kdiaz@example.org,001-382-880-7374,1993-07-29,43426 Jones Rapid Suite 968,Stephensstad,UT,70874,USA,2024-05-12,Premium,Verified,True,50827.81,Architect,Botswana
C0000064,John,Ortega,deborahwilliams@example.net,+1-565-961-0143x88899,1992-09-08,7982 Cuevas Orchard Apt. 461,Port Sheliaberg,MI,41381,USA,2025-06-16,Retail,Verified,True,19968.21,Teacher,Korea
C0000065,Jamie,Webb,udavis@example.net,451.440.1051x238,1993-09-24,673 Soto Ferry Suite 609,South Brittany,MS,01084,USA,2024-11-29,Retail,Verified,True,54516.73,Teacher,Costa Rica
C0000066,Karen,Stokes,raylauren@example.net,(755)837-1478,1959-04-21,155 Williamson Via Suite 991,West David,ME,15829,USA,2024-10-11,Retail,Verified,False,71547.73,Driver,Holy See (Vatican City State)
C0000067,Donald,Price,baileyhenderson@example.com,+1-782-282-7422x5790,1987-07-20,36887 Cohen Mall Suite 721,Port Kathleenport,AZ,36526,USA,2024-12-15,Premium,Verified,True,94541.48,Financial Analyst,Mauritania
C0000068,Gary,Ellis,hdunn@example.net,848-358-0783,1960-01-02,0745 Scott Crest,East Lisa,OR,90827,USA,2025-06-28,Retail,Failed,True,59980.0,Driver,Tokelau
C0000069,Chelsey,Patterson,kristenli@example.org,001-658-649-8254,1988-09-22,60422 Dustin Islands,Port Megan,MO,64655,USA,2024-08-08,Retail,Pending,True,43513.13,Driver,Morocco
C0000070,Joseph,Perry,yjones@example.org,(884)557-7590x1751,1983-05-25,74545 Ashlee Oval Suite 001,Smithburgh,NV,60337,USA,2024-01-02,Retail,Verified,True,26303.05,Teacher,Japan
C0000071,Wendy,Blankenship,erik41@example.net,(241)552-0643x611,1954-02-16,29387 Alan Junctions Apt. 627,East Patrickville,CT,41572,USA,2025-07-24,Premium,Verified,True,122619.01,Physician,Turkmenistan
C0000072,Derrick,Ayala,darlenebyrd@example.org,390.492.7532x69731,1960-09-22,656 Moody Gateway,Deannabury,OH,79275,USA,2025-03-18,Retail,Verified,True,78356.04,Driver,Slovakia (Slovak Republic)
C0000073,Hannah,Abbott,jamie98@example.org,001-264-703-7613x7918,2004-05-31,69658 Kathryn Trail Apt. 091,West Jasonton,WY,52664,USA,2026-02-25,Business,Verified,True,260755.68,Director,France
C0000074,Jennifer,Wang,fmiles@example.net,+1-589-424-1418,1983-02-19,9146 Brian Corners Suite 179,West Elizabethburgh,DE,02161,USA,2024-08-01,Premium,Verified,True,252403.98,Business Owner,Reunion
C0000075,Frank,Benton,gary24@example.net,305-964-8149,1941-02-18,507 Michael Glens Apt. 913,North Micheletown,IA,06527,USA,2026-01-02,Premium,Verified,True,20499.44,Software Engineer,Haiti
C0000076,Samantha,White,tranrobin@example.net,+1-263-453-6541x9518,1966-06-04,061 Cline Trail,Markside,NH,01545,USA,2025-07-27,Retail,Verified,True,54772.92,Teacher,Cook Islands
C0000077,Anne,Torres,stevenvargas@example.com,001-838-632-0603x85050,1960-03-15,83670 Jennifer Course,East Phyllishaven,MT,92362,USA,2025-08-01,Premium,Verified,True,104008.53,Consultant,Kuwait
C0000078,Julie,Carpenter,danafoster@example.net,001-706-723-4456,2006-09-05,3132 Eric Expressway Suite 756,New Michaelborough,NV,40911,USA,2025-12-20,Retail,Pending,True,31272.56,Sales Associate,Estonia
C0000079,David,Moore,margaret90@example.org,521-335-6804x42067,1998-05-16,21003 James Locks Suite 199,Samanthaland,AK,08951,USA,2024-11-03,Retail,Verified,True,38020.49,Nurse,United Kingdom
C0000080,Scott,Anderson,david70@example.org,001-566-470-6625,1984-04-27,7209 Deborah Parks Suite 870,West Patrickchester,ID,84734,USA,2026-03-27,Business,Verified,True,54717.83,Company Secretary,Egypt
C0000081,Virginia,Stephens,mayokimberly@example.com,587.259.8564x2059,1983-04-14,78593 Craig Shoals Apt. 480,New Meghan,AS,51412,USA,2025-07-05,Retail,Pending,True,32538.0,Teacher,Vietnam
C0000082,Victoria,Thompson,brittanydrake@example.net,(490)959-9293x784,1997-06-20,03930 Smith Ridges,Port David,VT,23761,USA,2025-05-17,Retail,Expired,True,43414.83,Retail Worker,Bahamas
C0000083,Dylan,Bush,kimmathis@example.com,456-891-5452,1941-11-07,528 Walker Radial Apt. 644,East Jessica,UT,75583,USA,2025-08-31,Retail,Verified,True,76034.85,Administrative Assistant,Thailand
C0000084,Kelli,Bradley,carriemccall@example.net,791.472.5135,2008-01-09,570 Clark Square,West Jonathanville,VA,00668,USA,2024-03-15,Retail,Expired,True,28025.35,Sales Associate,Hungary
C0000085,Jessica,Costa,ysnyder@example.com,+1-261-679-3271,1970-03-08,4115 Pamela Estates,New Shellyland,MA,78361,USA,2026-01-19,Retail,Verified,True,24239.85,Warehouse Worker,Romania
C0000086,Ryan,Valdez,gmoore@example.com,336.288.4443,1942-06-21,872 Michael Meadow Apt. 497,North Anthony,GA,84149,USA,2025-03-29,Retail,Failed,True,28257.71,Sales Associate,Belgium
C0000087,Megan,Parker,qruiz@example.com,286-625-6527,1972-08-02,4349 Edward Square Apt. 158,Arellanoshire,IN,73062,USA,2024-04-04,Retail,Verified,True,57394.35,Administrative Assistant,Tajikistan
C0000088,Loretta,Barnes,parmstrong@example.com,416-508-9899x2172,1966-09-14,06163 Mary Green,Reneeland,CO,51369,USA,2025-09-09,Retail,Verified,True,42803.52,Retail Worker,Micronesia
C0000089,Melissa,Stone,buchanancindy@example.net,(716)822-9991x19148,1962-07-21,7997 Gerald Lodge Apt. 996,South Pamelamouth,UT,31640,USA,2024-03-17,Retail,Verified,True,27864.81,Retail Worker,Samoa
C0000090,Samantha,Prince,morganlaura@example.com,571-932-4754x691,1972-09-12,7850 Cameron Station,Taylorhaven,FM,75038,USA,2024-02-14,Retail,Verified,True,46940.39,Student,China
C0000091,Nancy,Gonzalez,wrightstephen@example.com,001-934-457-8610x357,1953-06-24,855 Mary Green Apt. 406,East Melissaborough,PR,29513,USA,2024-12-15,Retail,Failed,True,38121.69,Retail Worker,Philippines
C0000092,Joseph,Ortiz,hancocktammy@example.net,6726290349,1954-06-06,5743 Turner Pike Suite 910,Annaport,ME,90208,USA,2024-06-16,Retail,Pending,True,58942.78,Sales Associate,Liberia
C0000093,Matthew,Hill,michelle44@example.org,(983)609-6520,1944-09-14,6609 Matthew Station Apt. 875,Meganside,HI,39007,USA,2024-05-31,Retail,Verified,True,25564.85,Retired,Latvia
C0000094,Joyce,Hardy,staceylam@example.net,635-934-6554,1949-01-25,0999 Thomas Fields,Port Erinhaven,ME,54647,USA,2024-03-24,Retail,Verified,True,30827.7,Driver,Trinidad and Tobago
C0000095,Edward,Gay,robert97@example.org,421-975-2500x74329,1998-06-29,96666 Reyes Camp,Lake Nathan,AL,42734,USA,2026-04-04,Retail,Verified,True,29850.17,Administrative Assistant,Comoros
C0000096,Erica,Sims,jeremywiley@example.com,(616)689-4210,1941-07-31,898 Hamilton Spur Apt. 575,East Stacy,PW,53374,USA,2024-01-30,Retail,Expired,True,17470.04,Retail Worker,Denmark
C0000097,Jessica,Anderson,lawrencegary@example.com,001-306-848-9090x100,1955-08-17,1847 Jamie Spur Apt. 461,Cindyberg,MT,14252,USA,2026-03-05,Retail,Verified,True,42110.83,Sales Associate,Saint Helena
C0000098,David,Wilson,jimenezchelsea@example.com,235.364.2087x37530,1982-05-24,721 Jennifer Courts,Dawnmouth,LA,35120,USA,2025-12-22,Business,Verified,True,330659.43,Operations Manager,Australia
C0000099,Lisa,Sawyer,michael56@example.net,610-302-2557,1947-02-25,2166 Nelson Lights Suite 621,Lake Jessica,PR,21393,USA,2024-06-10,Retail,Verified,True,36408.47,Student,Israel
C0000100,Brittany,Pham,ywhite@example.com,+1-202-577-1670x145,2002-05-15,891 Stanley Gateway Suite 562,North Dawnburgh,NY,62011,USA,2026-02-09,Retail,Verified,True,32296.25,Teacher,Trinidad and Tobago
C0000101,Charles,Vasquez,markramirez@example.net,986.363.1779,1951-08-14,5170 Richard Camp Apt. 199,Pamelaside,IL,86300,USA,2025-12-09,Premium,Pending,True,42225.41,Investment Manager,Zambia
C0000102,Michael,Brown,meganrivera@example.net,+1-775-371-1305x548,1963-07-22,72614 Jacob Walk,Lewisborough,VT,44794,USA,2024-06-16,Retail,Pending,True,29427.28,Retired,Saudi Arabia
C0000103,Brandon,Schultz,bartonshannon@example.net,001-982-470-8086,1968-07-25,216 Gordon Lights,Pettybury,KY,52650,USA,2025-06-16,Retail,Verified,True,30596.56,Retired,French Polynesia
C0000104,Linda,Taylor,megan85@example.net,001-383-733-9452x2885,1971-03-06,968 Rich Manors Apt. 810,Thomaston,ID,35494,USA,2024-09-07,Retail,Verified,True,24315.31,Warehouse Worker,France
C0000105,John,Franco,james80@example.com,819.883.8638x406,1986-11-12,004 Christine Tunnel Suite 359,Port Jenny,ID,39059,USA,2025-11-28,Retail,Expired,True,33501.89,Warehouse Worker,Christmas Island
C0000106,Felicia,Lopez,jillwilson@example.org,(748)242-2940x57202,2007-04-14,9851 Fox Ferry Apt. 826,Davisbury,FM,28465,USA,2025-05-30,Retail,Failed,True,44445.79,Driver,Greenland
C0000107,Kelly,Clements,wbarajas@example.net,7158739930,1964-11-29,4840 Robertson Pass,Tuckerport,MH,85898,USA,2024-10-26,Premium,Verified,True,306113.6,Software Engineer,Gibraltar
C0000108,Christopher,Davis,simsjason@example.net,001-336-213-8612x07501,1975-05-01,8193 Russell Mission,Hamiltontown,MS,88751,USA,2024-07-02,Premium,Verified,True,109616.88,Consultant,Martinique
C0000109,Darlene,Montgomery,haynescharles@example.net,244-991-4766,1940-10-05,326 Choi Divide,Ericastad,AL,73052,USA,2024-08-07,Retail,Verified,True,41306.5,Retail Worker,British Virgin Islands
C0000110,Adam,Carlson,torreskaitlin@example.net,(436)282-2239x431,1943-03-16,814 John Flat Suite 552,North Justin,CA,25863,USA,2025-05-08,Retail,Verified,True,34988.58,Nurse,Libyan Arab Jamahiriya
C0000111,Mark,Hopkins,arianadiaz@example.com,(720)653-3645x25777,1971-01-10,129 Meagan Walks Apt. 834,Lake Charlestown,PR,66977,USA,2024-02-18,Retail,Verified,True,13913.49,Sales Associate,Suriname
C0000112,Beth,Hammond,rebeccaarnold@example.net,+1-972-356-3942,1979-12-16,8039 Katherine Dam Suite 229,Lake Jessica,MI,05798,USA,2024-12-05,Retail,Verified,True,35837.25,Student,Senegal
C0000113,Jesse,Baker,bradclark@example.com,(477)800-5184x4989,1973-07-18,9184 Kaufman Fork Suite 557,Eatontown,NY,18715,USA,2025-11-14,Retail,Pending,True,37425.78,Teacher,Chad
C0000114,Chris,Schneider,edwardmoore@example.net,001-813-265-1777x392,1956-01-05,29922 Patricia Drive,East Jonathanburgh,NC,53644,USA,2024-01-29,Premium,Verified,True,432762.89,Financial Analyst,Turkey
C0000115,Jessica,Nicholson,robinsoncatherine@example.com,923.369.2929x8425,1989-04-29,6210 Alexandra Parkways,Serranoville,HI,62874,USA,2024-03-01,Business,Verified,True,230063.64,Company Secretary,Turkey
C0000116,Amanda,Goodwin,olsondavid@example.net,+1-506-986-5086,1993-09-14,9916 Jonathan Trafficway Apt. 149,Scotttown,VT,97972,USA,2024-01-12,Retail,Verified,True,42225.25,Sales Associate,Morocco
C0000117,David,Smith,gwendolynstewart@example.com,726-694-4869,1975-12-02,68872 Hansen Orchard Suite 495,Fitzgeraldville,WA,30617,USA,2025-11-24,Retail,Verified,True,35690.65,Student,Slovenia
C0000118,Stacy,Garcia,zhartman@example.net,+1-602-560-1279x611,1987-12-13,90669 Dawson Ranch Apt. 277,East Melissahaven,LA,26026,USA,2024-02-22,Retail,Verified,True,20244.96,Driver,Slovenia
C0000119,William,Hale,emilyward@example.net,5212465669,1981-02-27,84895 Richmond Harbor,New Sylvia,NH,53448,USA,2024-01-08,Premium,Failed,False,195965.46,Financial Analyst,Eritrea
C0000120,Richard,Rodriguez,gordonmatthew@example.org,248.994.7697x35779,1952-04-09,1633 Gutierrez Knoll,Lake Marilynbury,LA,12691,USA,2025-09-11,Business,Verified,True,489699.11,CFO,Peru
C0000121,Lori,Jones,thomasgomez@example.net,723-473-3343x333,1991-04-26,17908 Melanie Landing,Travisshire,VI,36510,USA,2026-02-01,Retail,Verified,True,53933.98,Teacher,Cocos (Keeling) Islands
C0000122,Kathryn,Dixon,kwalker@example.org,4869780856,2007-05-08,875 Alexander Fords,Carpentermouth,MN,80819,USA,2025-02-07,Retail,Verified,True,23047.35,Administrative Assistant,Colombia
C0000123,Jose,Adams,michael76@example.org,(855)864-7292x93143,1977-09-09,27026 Taylor Vista,Kristenport,KS,74181,USA,2024-03-15,Premium,Verified,True,229045.65,Investment Manager,Indonesia
C0000124,Hannah,Brown,thomas17@example.net,445-658-8450x61593,1947-02-05,8771 Austin Mountain Apt. 256,Sweeneyland,CO,21734,USA,2025-06-17,Retail,Verified,True,18017.06,Warehouse Worker,Denmark
C0000125,Logan,Carter,catherine64@example.com,001-459-887-6220x23413,1961-09-10,17800 Warren Corner,West Christineland,SD,51598,USA,2025-04-25,Retail,Expired,True,48699.72,Nurse,Denmark
C0000126,Joan,Ramos,davidroberson@example.org,4554778487,1957-03-13,968 Stout Orchard Apt. 174,Robertberg,ME,01884,USA,2024-01-01,Premium,Verified,True,367424.59,Software Engineer,Mali
C0000127,Katherine,Taylor,taylor07@example.com,806-549-3085x3686,1995-11-06,663 Miller Road,New Kathy,PW,80876,USA,2025-02-26,Retail,Verified,True,22130.94,Driver,Finland
C0000128,Julia,Lamb,elopez@example.org,(541)779-7497,1984-06-27,08021 Adams Stravenue,Acostabury,CO,20251,USA,2024-01-23,Retail,Verified,False,27360.38,Retired,Lithuania
C0000129,Matthew,Collins,dbolton@example.net,9514204618,1955-02-21,6013 Wise Mills,Lake Virginia,ID,60903,USA,2024-05-25,Retail,Verified,True,38170.78,Nurse,Mali
C0000130,Tina,Kennedy,sharon20@example.net,+1-581-347-4350,1985-09-06,650 Laura Prairie,South Kristinatown,AZ,76663,USA,2026-01-08,Premium,Verified,True,72978.1,Financial Analyst,Portugal
C0000131,Eric,Townsend,ericdavis@example.net,500-252-8127x35857,1980-12-06,2407 Hansen Plains Suite 392,Mariomouth,KY,78971,USA,2026-05-11,Business,Verified,True,77611.37,Company Secretary,Central African Republic
C0000132,Amanda,Cole,amber70@example.net,962.409.5935x18638,1945-01-17,6511 Bradley Curve Apt. 031,Leeton,OK,84616,USA,2025-08-26,Retail,Verified,True,37582.04,Sales Associate,Palestinian Territory
C0000133,Alicia,Miles,brandon39@example.net,803-771-7058,1973-09-12,480 Mary Club,New Colton,VA,30780,USA,2026-04-05,Retail,Verified,True,21350.88,Nurse,Hungary
